;0
Ano;0.5120809117825661
Motor HP;0.33938306801171575
Tipo de Combustivel_diesel;0.013194116764688048
KM/L Estrada;0.01065197725325582
KM/L Cidade;0.00941279908493274
Estilo Veículo_SUV de 4 portas;0.009093504282910407
Fabricante_Cadillac;0.007305734289848639
Fabricante_Outros;0.005151727259332372
Estilo Veículo_Conversível;0.0046994591239591325
Fabricante_Lexus;0.0041787549716169855
Tração_tracao dianteira;0.003472307012336251
Tipo Transmissão_MANUAL;0.003332009027044059
Tração_tracao em 4 rodas;0.0032294414028406523
Fabricante_Audi;0.00308037105504951
Fabricante_Dodge;0.0029008637092737414
Estilo Veículo_Sedã;0.0023879714830139886
Modelo_Outros;0.002356713631337229
Modelo_Camaro;0.0022651883757943453
Fabricante_Mercedes-Benz;0.0021827906199579404
Fabricante_Chevrolet;0.002160108811654247
Nº de Cilindros;0.002093341024848287
Fabricante_BMW;0.0020702355641114174
Tamanho Veículo_Grande;0.00199588409114123
Fabricante_Ford;0.0019092906952862226
Tamanho Veículo_Medio;0.0017751932208593443
Estilo Veículo_Picape Cabine Estendida;0.0016524851659072669
Tamanho Veículo_Pequeno;0.0015460365005767575
Fabricante_Acura;0.0015078520313725641
Estilo Veículo_Cupê;0.0013798871094411584
Estilo Veículo_Picape Cabine Dupla;0.0012874387491099923
Fabricante_Hyundai;0.0012488060663461327
Fabricante_Lincoln;0.0011979868875514675
Modelo_Mustang;0.0011774255596129588
Tração_tracao traseira;0.0010555933045848934
Modelo_Touareg;0.0010542821953884078
Nº de Portas;0.0010513807031598934
Modelo_MDX;0.0009869345124485754
Modelo_Supra;0.0009384950999054996
Fabricante_Volvo;0.0008953562596213397
Fabricante_Infiniti;0.0008619121185291137
Modelo_E-Class;0.0008568984621312623
Estilo Veículo_Outros;0.0007714458016516595
Fabricante_Subaru;0.0007500097265326079
Estilo Veículo_Picape Cabine Simples;0.0006993260111669743
Modelo_Town Car;0.0006907804836679372
Fabricante_Saab;0.0006282990632098679
Tipo Transmissão_Automático;0.0006046663517793638
Fabricante_Nissan;0.0005990399357261381
Tipo Transmissão_Automático e Manual;0.0005942663257399306
Fabricante_Volkswagen;0.0005815456850024
Modelo_Elise;0.0005592742336014847
Modelo_A7;0.0005297205186278575
Fabricante_Pontiac;0.0005062671219251767
Tipo de Combustivel_Gasolina;0.000479677164202481
Tipo de Combustivel_Flex;0.0004665172247608499
Fabricante_Buick;0.0004407153609066619
Fabricante_Kia;0.0004043060068125257
Modelo_Tundra;0.000373831606732129
Fabricante_GMC;0.00036747665739972205
Modelo_Q50;0.00036355753077547303
Modelo_ATS;0.000349651316804597
Modelo_QX50;0.00034860340085448227
Modelo_Durango;0.0003478133458632923
Modelo_09/mar;0.0003153957402596926
Estilo Veículo_Perua;0.00030959208042098744
Modelo_RLX;0.0003063075581760497
Modelo_F-150;0.0002907830660769612
Modelo_Genesis Coupe;0.0002813726694371941
Modelo_Navigator;0.0002681027067207088
Estilo Veículo_Minivan de Passageiros;0.0002661349062426109
Modelo_A6;0.00025695225938360543
Modelo_Enclave;0.0002497692229854244
Modelo_Range Rover Sport;0.00024871727130770137
Fabricante_Honda;0.00024700363096776353
Modelo_CTS;0.00024560293067527224
Modelo_CC;0.00022255347139497786
Modelo_Evora;0.0002163622729682885
Modelo_Genesis;0.00021443500838637508
Fabricante_Toyota;0.00021368548377496431
Fabricante_Suzuki;0.0001952416565743434
Fabricante_Chrysler;0.0001937191171172557
Modelo_XC90;0.00018973862697351063
Modelo_Journey;0.00018553362906467268
Modelo_Frontier;0.00018140967293256416
Modelo_GLK-Class;0.00018138747845291843
Modelo_XTS;0.00017631189004150286
Estilo Veículo_Hatchback de 4 portas;0.0001699398886970446
Modelo_Crossfire;0.00016804670094698512
Fabricante_Mazda;0.00016528606204223206
Modelo_M35;0.00015880312233503384
Modelo_Terrain;0.00015448612603197266
Modelo_Rabbit;0.00014916849829635514
Modelo_X1;0.00014313911785722973
Modelo_X6;0.00014004334215326342
Modelo_CLK-Class;0.0001398241731485269
Modelo_G37;0.00013823928888600465
Modelo_370Z;0.0001355419375301191
Modelo_09/mai;0.0001351470866251665
Modelo_Park Avenue;0.00013431093953127237
Modelo_3 Series;0.00013109598447369803
Modelo_Charger;0.00013093170282781324
Modelo_STS;0.00012863184192237064
Modelo_Grand Caravan;0.0001273591220038423
Modelo_Silhouette;0.00012581354685847523
Modelo_Aerio;0.0001233432074923325
Modelo_2 Series;0.00012308644658833823
Modelo_Beetle Convertible;0.00012236750426824152
Modelo_Acadia;0.0001200821602655357
Modelo_Challenger;0.00011716788126723177
Modelo_5 Series;0.00011626275608865366
Estilo Veículo_Hatchback de 2 portas;0.00011582212442186064
Modelo_TrailBlazer;0.00011569785957385432
Modelo_Forte;0.00011204748449391665
Modelo_5 Series Gran Turismo;0.00011142666536819245
Modelo_GS 350;0.00011071163227221853
Modelo_CT6;0.00011024188614295115
Modelo_Transit Wagon;0.00010993060962750311
Modelo_Encore;0.00010984287824706785
Modelo_Range Rover Evoque;0.00010163710591123234
